Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
"KSTC-133450 TIN Canon CLI581XXLM magenta HC","TIN Canon CLI581XXLM magenta HC","TIN Canon CLI581XXLM magenta HC","Canon","Electronics","Verbrauchsmaterialien","Verbrauchsmaterialien,Tinte",TRUE,,,,,,,"KSTC-133450",,shopify,28,deny,manual,37.75,,TRUE,TRUE,4549292086928,https://cdn.kosatec.de/media/image/d5/27/42/133450_600x600.jpg,1,,FALSE,"TIN Canon CLI581XXLM magenta HC","TIN Canon CLI581XXLM magenta HC","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"KSTC-133451 TIN Canon CLI581XXLY yellow HC","TIN Canon CLI581XXLY yellow HC","TIN Canon CLI581XXLY yellow HC","Canon","Electronics","Verbrauchsmaterialien","Verbrauchsmaterialien,Tinte",TRUE,,,,,,,"KSTC-133451",,shopify,8,deny,manual,37.47,,TRUE,TRUE,4549292086959,https://cdn.kosatec.de/media/image/32/48/2f/133451_600x600.jpg,1,,FALSE,"TIN Canon CLI581XXLY yellow HC","TIN Canon CLI581XXLY yellow HC","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"KSTC-133452 TIN Canon Tinte PGI-580PGBK Pigment Schwarz bis zu 200 Seiten gemäß ISO/IEC 24711","TIN Canon Tinte PGI-580PGBK Pigment Schwarz bis zu 200 Seiten gemäß ISO/IEC 24711","TIN Canon Tinte PGI-580PGBK Pigment Schwarz bis zu 200 Seiten gemäß ISO/IEC 24711","Canon","Electronics","Verbrauchsmaterialien","Verbrauchsmaterialien,Tinte",TRUE,,,,,,,"KSTC-133452",,shopify,52,deny,manual,26.81,,TRUE,TRUE,4549292087062,https://cdn.kosatec.de/media/image/a7/bc/f0/133452_600x600.jpg,1,,FALSE,"TIN Canon Tinte PGI-580PGBK Pigment Schwarz bis zu 200 Seiten gemäß ISO/IEC 24711","TIN Canon Tinte PGI-580PGBK Pigment Schwarz bis zu 200 Seiten gemäß ISO/IEC 24711","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"KSTC-133479 TON Kyocera Toner TK-1130 Schwarz bis zu 3.000 Seiten gem. ISO/IEC 19752","TON Kyocera Toner TK-1130 Schwarz bis zu 3.000 Seiten gem. ISO/IEC 19752","TON Kyocera Toner TK-1130 Schwarz bis zu 3.000 Seiten gem. ISO/IEC 19752","Kyocera","Electronics","Verbrauchsmaterialien","Verbrauchsmaterialien,Toner",TRUE,,,,,,,"KSTC-133479",,shopify,5,deny,manual,92.89,,TRUE,TRUE,0632983039892,https://cdn.kosatec.de/media/image/e7/3e/99/133479.jpg,1,,FALSE,"TON Kyocera Toner TK-1130 Schwarz bis zu 3.000 Seiten gem. ISO/IEC 19752","TON Kyocera Toner TK-1130 Schwarz bis zu 3.000 Seiten gem. ISO/IEC 19752","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"KSTC-133811 TIN HP Tinte 951XL CN047AE Magenta","TIN HP Tinte 951XL CN047AE Magenta","TIN HP Tinte 951XL CN047AE Magenta","HP","Electronics","Verbrauchsmaterialien","Verbrauchsmaterialien,Tinte",TRUE,,,,,,,"KSTC-133811",,shopify,70,deny,manual,58.17,,TRUE,TRUE,0886111748938,https://cdn.kosatec.de/media/image/4b/52/e0/133811.jpg,1,,FALSE,"TIN HP Tinte 951XL CN047AE Magenta","TIN HP Tinte 951XL CN047AE Magenta","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"KSTC-137250 Gigaset PRO N510 IP PRO Basisstation","Gigaset PRO N510 IP PRO Basisstation","Gigaset PRO N510 IP PRO Basisstation","Gigaset","Electronics","Netzwerk","Netzwerk,Voice over IP",TRUE,,,,,,,"KSTC-137250",,shopify,49,deny,manual,97.98,,TRUE,TRUE,4250366821245,https://cdn.kosatec.de/media/image/d0/d0/af/137250.jpg,1,,FALSE,"Gigaset PRO N510 IP PRO Basisstation","Gigaset PRO N510 IP PRO Basisstation","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"KSTC-140066 RDX Tandberg 1TB cartridge","RDX Tandberg 1TB cartridge","RDX Tandberg 1TB cartridge","Tandberg Data","Electronics","Verbrauchsmaterialien","Verbrauchsmaterialien,Streamer-Tapes",TRUE,,,,,,,"KSTC-140066",,shopify,38,deny,manual,240.42,,TRUE,TRUE,7050779085862,https://cdn.kosatec.de/media/image/ef/37/04/140066.jpg,1,,FALSE,"RDX Tandberg 1TB cartridge","RDX Tandberg 1TB cartridge","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"KSTC-141379 ITX 200W LC-Power 1400MI","ITX 200W LC-Power 1400MI","ITX 200W LC-Power 1400MI","LC-Power","Electronics","Gehäuse","Gehäuse,ITX Gehäuse",TRUE,,,,,,,"KSTC-141379",,shopify,9,deny,manual,85.62,,TRUE,TRUE,4260070122668,https://cdn.kosatec.de/media/image/0a/da/1e/141379.jpg,1,,FALSE,"ITX 200W LC-Power 1400MI","ITX 200W LC-Power 1400MI","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"KSTC-141992 TON Kyocera Toner TK-3160 Schwarz bis zu 12.500 Seiten gem. ISO/IEC 19752","TON Kyocera Toner TK-3160 Schwarz bis zu 12.500 Seiten gem. ISO/IEC 19752","TON Kyocera Toner TK-3160 Schwarz bis zu 12.500 Seiten gem. ISO/IEC 19752","Kyocera","Electronics","Verbrauchsmaterialien","Verbrauchsmaterialien,Toner",TRUE,,,,,,,"KSTC-141992",,shopify,40,deny,manual,142.50,,TRUE,TRUE,0632983042588,https://cdn.kosatec.de/media/image/a4/5e/d2/141992_600x600.jpg,1,,FALSE,"TON Kyocera Toner TK-3160 Schwarz bis zu 12.500 Seiten gem. ISO/IEC 19752","TON Kyocera Toner TK-3160 Schwarz bis zu 12.500 Seiten gem. ISO/IEC 19752","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"KSTC-143413 TIN HP Tinte 970XL CN625AE Schwarz","TIN HP Tinte 970XL CN625AE Schwarz","TIN HP Tinte 970XL CN625AE Schwarz","HP","Electronics","Verbrauchsmaterialien","Verbrauchsmaterialien,Tinte",TRUE,,,,,,,"KSTC-143413",,shopify,66,deny,manual,148.26,,TRUE,TRUE,0886112877361,https://cdn.kosatec.de/media/image/0e/b8/c4/143413.jpg,1,,FALSE,"TIN HP Tinte 970XL CN625AE Schwarz","TIN HP Tinte 970XL CN625AE Schwarz","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
