Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
"ECOM-66586 ASUS TUF B660M-PLUS GAMING D4 (1700) (D)","ASUS TUF B660M-PLUS GAMING D4 (1700) (D)","ASUS TUF B660M-PLUS GAMING D4 (1700) (D)","ASUS","Electronics","Motherboard ASUS","Electronics,Motherboard ASUS",TRUE,,,,,,,"ECOM-66586",,shopify,17,deny,manual,188.06,,TRUE,TRUE,4711081516897,https://www.nexoc-store.de/shop/media/image/df/da/f5/66586_1_600x600..jpg,1,,FALSE,"ASUS TUF B660M-PLUS GAMING D4 (1700) (D)","ASUS TUF B660M-PLUS GAMING D4 (1700) (D)","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-66598 ASUS TUF B660-Plus Gaming D4 (WIFI) (1700) (D)","ASUS TUF B660-Plus Gaming D4 (WIFI) (1700) (D)","ASUS TUF B660-Plus Gaming D4 (WIFI) (1700) (D)","ASUS","Electronics","Motherboard ASUS","Electronics,Motherboard ASUS",TRUE,,,,,,,"ECOM-66598",,shopify,95,deny,manual,194.36,,TRUE,TRUE,4711081532873,https://www.nexoc-store.de/shop/media/image/d5/e5/4d/66598_1_600x600..jpg,1,,FALSE,"ASUS TUF B660-Plus Gaming D4 (WIFI) (1700) (D)","ASUS TUF B660-Plus Gaming D4 (WIFI) (1700) (D)","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-71871 ASUS TUF B760M-PLUS GAMING D4 (1700) (D)","ASUS TUF B760M-PLUS GAMING D4 (1700) (D)","ASUS TUF B760M-PLUS GAMING D4 (1700) (D)","ASUS","Electronics","Motherboard ASUS","Electronics,Motherboard ASUS",TRUE,,,,,,,"ECOM-71871",,shopify,34,deny,manual,208.22,,TRUE,TRUE,4711387005316,https://www.nexoc-store.de/shop/media/image/3d/98/df/71871_1_600x600..jpg,1,,FALSE,"ASUS TUF B760M-PLUS GAMING D4 (1700) (D)","ASUS TUF B760M-PLUS GAMING D4 (1700) (D)","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-71869 ASUS TUF B760M-PLUS GAMING D4 (WIFI) (1700) (D)","ASUS TUF B760M-PLUS GAMING D4 (WIFI) (1700) (D)","ASUS TUF B760M-PLUS GAMING D4 (WIFI) (1700) (D)","ASUS","Electronics","Motherboard ASUS","Electronics,Motherboard ASUS",TRUE,,,,,,,"ECOM-71869",,shopify,31,deny,manual,222.08,,TRUE,TRUE,4711387004456,https://www.nexoc-store.de/shop/media/image/59/1c/66/71869_1_600x600..jpg,1,,FALSE,"ASUS TUF B760M-PLUS GAMING D4 (WIFI) (1700) (D)","ASUS TUF B760M-PLUS GAMING D4 (WIFI) (1700) (D)","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-71865 ASUS TUF B760-Plus Gaming D4 (WIFI) (1700) (D)","ASUS TUF B760-Plus Gaming D4 (WIFI) (1700) (D)","ASUS TUF B760-Plus Gaming D4 (WIFI) (1700) (D)","ASUS","Electronics","Motherboard ASUS","Electronics,Motherboard ASUS",TRUE,,,,,,,"ECOM-71865",,shopify,31,deny,manual,236.57,,TRUE,TRUE,4711387009499,https://www.nexoc-store.de/shop/media/image/3f/1a/9a/71865_1_600x600..jpg,1,,FALSE,"ASUS TUF B760-Plus Gaming D4 (WIFI) (1700) (D)","ASUS TUF B760-Plus Gaming D4 (WIFI) (1700) (D)","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-50126 ASUS TUF GAMING X570-PLUS (Wi-Fi) (AM4) (D)","ASUS TUF GAMING X570-PLUS (Wi-Fi) (AM4) (D)","ASUS TUF GAMING X570-PLUS (Wi-Fi) (AM4) (D)","ASUS","Electronics","Motherboard ASUS","Electronics,Motherboard ASUS",TRUE,,,,,,,"ECOM-50126",,shopify,10,deny,manual,252.32,,TRUE,TRUE,4718017388498,https://www.nexoc-store.de/shop/media/image/ed/43/61/50126_0NX8dkGJs6jlo4_600x600.jpg,1,,FALSE,"ASUS TUF GAMING X570-PLUS (Wi-Fi) (AM4) (D)","ASUS TUF GAMING X570-PLUS (Wi-Fi) (AM4) (D)","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-70668 ASUS TUF GAMING Z790-PLUS D4 (1700) (D)","ASUS TUF GAMING Z790-PLUS D4 (1700) (D)","ASUS TUF GAMING Z790-PLUS D4 (1700) (D)","ASUS","Electronics","Motherboard ASUS","Electronics,Motherboard ASUS",TRUE,,,,,,,"ECOM-70668",,shopify,90,deny,manual,355.64,,TRUE,TRUE,4711081944973,https://www.nexoc-store.de/shop/media/image/3c/d4/ea/70668_1FKWNHaPyFmDjW_600x600..jpg,1,,FALSE,"ASUS TUF GAMING Z790-PLUS D4 (1700) (D)","ASUS TUF GAMING Z790-PLUS D4 (1700) (D)","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-70666 ASUS TUF GAMING Z790-PLUS WIFI (1700) (D)","ASUS TUF GAMING Z790-PLUS WIFI (1700) (D)","ASUS TUF GAMING Z790-PLUS WIFI (1700) (D)","ASUS","Electronics","Motherboard ASUS","Electronics,Motherboard ASUS",TRUE,,,,,,,"ECOM-70666",,shopify,2,deny,manual,383.36,,TRUE,TRUE,4711387014509,https://www.nexoc-store.de/shop/media/image/cc/2e/ac/70666_1_600x600..jpg,1,,FALSE,"ASUS TUF GAMING Z790-PLUS WIFI (1700) (D)","ASUS TUF GAMING Z790-PLUS WIFI (1700) (D)","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-70667 ASUS TUF GAMING Z790-PLUS WIFI D4 (1700) (D)","ASUS TUF GAMING Z790-PLUS WIFI D4 (1700) (D)","ASUS TUF GAMING Z790-PLUS WIFI D4 (1700) (D)","ASUS","Electronics","Motherboard ASUS","Electronics,Motherboard ASUS",TRUE,,,,,,,"ECOM-70667",,shopify,34,deny,manual,368.24,,TRUE,TRUE,4711081941088,https://www.nexoc-store.de/shop/media/image/b7/9d/ca/70667_1_600x600..jpg,1,,FALSE,"ASUS TUF GAMING Z790-PLUS WIFI D4 (1700) (D)","ASUS TUF GAMING Z790-PLUS WIFI D4 (1700) (D)","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-67054 ASUS TUF H670-PRO GAMING WiFi D4 (1700) (D)","ASUS TUF H670-PRO GAMING WiFi D4 (1700) (D)","ASUS TUF H670-PRO GAMING WiFi D4 (1700) (D)","ASUS","Electronics","Motherboard ASUS","Electronics,Motherboard ASUS",TRUE,,,,,,,"ECOM-67054",,shopify,13,deny,manual,229.64,,TRUE,TRUE,4711081515524,https://www.nexoc-store.de/shop/media/image/ee/52/4f/67054_1_600x600..jpg,1,,FALSE,"ASUS TUF H670-PRO GAMING WiFi D4 (1700) (D)","ASUS TUF H670-PRO GAMING WiFi D4 (1700) (D)","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-70261 ASUS TUF X670E-PLUS Gaming (AM5) (D)","ASUS TUF X670E-PLUS Gaming (AM5) (D)","ASUS TUF X670E-PLUS Gaming (AM5) (D)","ASUS","Electronics","Motherboard ASUS","Electronics,Motherboard ASUS",TRUE,,,,,,,"ECOM-70261",,shopify,8,deny,manual,355.01,,TRUE,TRUE,4711081905608,https://www.nexoc-store.de/shop/media/image/3f/27/6c/70261_1_600x600..jpg,1,,FALSE,"ASUS TUF X670E-PLUS Gaming (AM5) (D)","ASUS TUF X670E-PLUS Gaming (AM5) (D)","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-70260 ASUS TUF X670E-PLUS Gaming WIFI (AM5) (D)","ASUS TUF X670E-PLUS Gaming WIFI (AM5) (D)","ASUS TUF X670E-PLUS Gaming WIFI (AM5) (D)","ASUS","Electronics","Motherboard ASUS","Electronics,Motherboard ASUS",TRUE,,,,,,,"ECOM-70260",,shopify,46,deny,manual,370.13,,TRUE,TRUE,4711081905738,https://www.nexoc-store.de/shop/media/image/19/b0/5b/70260_1_600x600..jpg,1,,FALSE,"ASUS TUF X670E-PLUS Gaming WIFI (AM5) (D)","ASUS TUF X670E-PLUS Gaming WIFI (AM5) (D)","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-67059 ASUS TUF Z690-PLUS Gaming (1700) (D)","ASUS TUF Z690-PLUS Gaming (1700) (D)","ASUS TUF Z690-PLUS Gaming (1700) (D)","ASUS","Electronics","Motherboard ASUS","Electronics,Motherboard ASUS",TRUE,,,,,,,"ECOM-67059",,shopify,14,deny,manual,332.96,,TRUE,TRUE,4711081646266,https://www.nexoc-store.de/shop/media/image/71/4a/91/67059_1Y7mIVVv6wXntY_600x600..jpg,1,,FALSE,"ASUS TUF Z690-PLUS Gaming (1700) (D)","ASUS TUF Z690-PLUS Gaming (1700) (D)","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-67060 ASUS TUF Z690-PLUS Gaming WIFI (1700) (D)","ASUS TUF Z690-PLUS Gaming WIFI (1700) (D)","ASUS TUF Z690-PLUS Gaming WIFI (1700) (D)","ASUS","Electronics","Motherboard ASUS","Electronics,Motherboard ASUS",TRUE,,,,,,,"ECOM-67060",,shopify,18,deny,manual,346.82,,TRUE,TRUE,4711081646235,https://www.nexoc-store.de/shop/media/image/27/e3/11/67060_1_600x600..jpg,1,,FALSE,"ASUS TUF Z690-PLUS Gaming WIFI (1700) (D)","ASUS TUF Z690-PLUS Gaming WIFI (1700) (D)","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-65066 ASUS TUF Z690-PLUS Gaming WIFI D4 (1700) (D)","ASUS TUF Z690-PLUS Gaming WIFI D4 (1700) (D)","ASUS TUF Z690-PLUS Gaming WIFI D4 (1700) (D)","ASUS","Electronics","Motherboard ASUS","Electronics,Motherboard ASUS",TRUE,,,,,,,"ECOM-65066",,shopify,1,deny,manual,332.96,,TRUE,TRUE,4711081438779,https://www.nexoc-store.de/shop/media/image/b7/4d/55/65066_1izgexTuJn7aZm_600x600..jpg,1,,FALSE,"ASUS TUF Z690-PLUS Gaming WIFI D4 (1700) (D)","ASUS TUF Z690-PLUS Gaming WIFI D4 (1700) (D)","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
