Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
"PCNB-63392","Captiva Highend Gaming I63-392","Chassis : GN6 036IG 21V1 (N960KP)<br>CPU : Intel i7 10700<br>RAM : 16GB<br>Graphic : RTX 3060 6GB<br>SSD : 500GB M.2<br>Display/TFT : '16.1'' FHD 144Hz'<br>Type : NB<br>","Intel","Electronics > Computers","Computer","Computer,Intel",TRUE,,,,,,,"PCNB-63392",,shopify,52,deny,manual,1222.65,,TRUE,TRUE,4046373633922,https://www.nexoc-store.de/shop/media/image/e9/27/3b/63335_016uvU3cYT3TBNc_600x600..jpg,1,,FALSE,"Captiva Highend Gaming I63-392","Chassis : GN6 036IG 21V1 (N960KP)<br>CPU : Intel i7 10700<br>RAM : 16GB<br>Graphic : RTX 3060 6GB<br>SSD : 500GB M.2<br>Display/TFT : '16.1'' FHD 144Hz'<br>Type : NB<br>","Computer",,,,,,,FALSE,,,,,,,,,,,,active
"PCNB-63391","Captiva Highend Gaming I63-391","Chassis : GN6 036IG 21V1 (N960KP)<br>CPU : Intel i7 10700<br>RAM : 16GB<br>Graphic : RTX 3060 6GB<br>SSD : 500GB M.2<br>Display/TFT : '16.1'' FHD 144Hz'<br>OS : Win11 Home<br>Type : NB<br>","Intel","Electronics > Computers","Computer","Computer,Intel",TRUE,,,,,,,"PCNB-63391",,shopify,52,deny,manual,1370.07,,TRUE,TRUE,4046373633915,https://www.nexoc-store.de/shop/media/image/b2/cb/e3/63335_01o5XmnGh8MAzv8_600x600..jpg,1,,FALSE,"Captiva Highend Gaming I63-391","Chassis : GN6 036IG 21V1 (N960KP)<br>CPU : Intel i7 10700<br>RAM : 16GB<br>Graphic : RTX 3060 6GB<br>SSD : 500GB M.2<br>Display/TFT : '16.1'' FHD 144Hz'<br>OS : Win11 Home<br>Type : NB<br>","Computer",,,,,,,FALSE,,,,,,,,,,,,active
"PCNB-63394","Captiva Highend Gaming I63-394","Chassis : GN6 036IG 21V1 (N960KP)<br>CPU : Intel i7 10700<br>RAM : 16GB<br>Graphic : RTX 3060 6GB<br>SSD : 1TB M.2<br>Display/TFT : '16.1'' FHD 144Hz'<br>Type : NB<br>","Intel","Electronics > Computers","Computer","Computer,Intel",TRUE,,,,,,,"PCNB-63394",,shopify,52,deny,manual,1264.23,,TRUE,TRUE,4046373633946,https://www.nexoc-store.de/shop/media/image/cf/82/3c/63335_017vfWaQ9ltHlWf_600x600..jpg,1,,FALSE,"Captiva Highend Gaming I63-394","Chassis : GN6 036IG 21V1 (N960KP)<br>CPU : Intel i7 10700<br>RAM : 16GB<br>Graphic : RTX 3060 6GB<br>SSD : 1TB M.2<br>Display/TFT : '16.1'' FHD 144Hz'<br>Type : NB<br>","Computer",,,,,,,FALSE,,,,,,,,,,,,active
"PCNB-63393","Captiva Highend Gaming I63-393","Chassis : GN6 036IG 21V1 (N960KP)<br>CPU : Intel i7 10700<br>RAM : 16GB<br>Graphic : RTX 3060 6GB<br>SSD : 1TB M.2<br>Display/TFT : '16.1'' FHD 144Hz'<br>OS : Win11 Home<br>Type : NB<br>","Intel","Electronics > Computers","Computer","Computer,Intel",TRUE,,,,,,,"PCNB-63393",,shopify,52,deny,manual,1412.91,,TRUE,TRUE,4046373633939,https://www.nexoc-store.de/shop/media/image/4f/a7/e6/63335_01JKQxj5lHZLJhe_600x600..jpg,1,,FALSE,"Captiva Highend Gaming I63-393","Chassis : GN6 036IG 21V1 (N960KP)<br>CPU : Intel i7 10700<br>RAM : 16GB<br>Graphic : RTX 3060 6GB<br>SSD : 1TB M.2<br>Display/TFT : '16.1'' FHD 144Hz'<br>OS : Win11 Home<br>Type : NB<br>","Computer",,,,,,,FALSE,,,,,,,,,,,,active
"PCNB-63398","Captiva Highend Gaming I63-398","Chassis : GN6 036IG 21V1 (N960KP)<br>CPU : Intel i7 10700<br>RAM : 32GB<br>Graphic : RTX 3060 6GB<br>SSD : 256GB M.2<br>HDD : 1TB<br>Display/TFT : '16.1'' FHD 144Hz'<br>Type : NB<br>","Intel","Electronics > Computers","Computer","Computer,Intel",TRUE,,,,,,,"PCNB-63398",,shopify,19,deny,manual,1285.65,,TRUE,TRUE,4046373633984,https://www.nexoc-store.de/shop/media/image/10/51/07/63335_01s1775epO7KRRW_600x600..jpg,1,,FALSE,"Captiva Highend Gaming I63-398","Chassis : GN6 036IG 21V1 (N960KP)<br>CPU : Intel i7 10700<br>RAM : 32GB<br>Graphic : RTX 3060 6GB<br>SSD : 256GB M.2<br>HDD : 1TB<br>Display/TFT : '16.1'' FHD 144Hz'<br>Type : NB<br>","Computer",,,,,,,FALSE,,,,,,,,,,,,active
"PCNB-63396","Captiva Highend Gaming I63-396","Chassis : GN6 036IG 21V1 (N960KP)<br>CPU : Intel i7 10700<br>RAM : 32GB<br>Graphic : RTX 3060 6GB<br>SSD : 256GB M.2<br>HDD : 1TB<br>Display/TFT : '16.1'' FHD 144Hz'<br>OS : Win11 Home<br>Type : NB<br>","Intel","Electronics > Computers","Computer","Computer,Intel",TRUE,,,,,,,"PCNB-63396",,shopify,19,deny,manual,1434.33,,TRUE,TRUE,4046373633960,https://www.nexoc-store.de/shop/media/image/55/cd/51/63335_016YGXOFUxTEthN_600x600..jpg,1,,FALSE,"Captiva Highend Gaming I63-396","Chassis : GN6 036IG 21V1 (N960KP)<br>CPU : Intel i7 10700<br>RAM : 32GB<br>Graphic : RTX 3060 6GB<br>SSD : 256GB M.2<br>HDD : 1TB<br>Display/TFT : '16.1'' FHD 144Hz'<br>OS : Win11 Home<br>Type : NB<br>","Computer",,,,,,,FALSE,,,,,,,,,,,,active
"PCNB-63399","Captiva Highend Gaming I63-399","Chassis : GN6 036IG 21V1 (N960KP)<br>CPU : Intel i7 10700<br>RAM : 32GB<br>Graphic : RTX 3060 6GB<br>SSD : 500GB M.2<br>HDD : 1TB<br>Display/TFT : '16.1'' FHD 144Hz'<br>Type : NB<br>","Intel","Electronics > Computers","Computer","Computer,Intel",TRUE,,,,,,,"PCNB-63399",,shopify,19,deny,manual,1295.73,,TRUE,TRUE,4046373633991,https://www.nexoc-store.de/shop/media/image/9b/3f/ae/63335_01HqtDVw3oLII0e_600x600..jpg,1,,FALSE,"Captiva Highend Gaming I63-399","Chassis : GN6 036IG 21V1 (N960KP)<br>CPU : Intel i7 10700<br>RAM : 32GB<br>Graphic : RTX 3060 6GB<br>SSD : 500GB M.2<br>HDD : 1TB<br>Display/TFT : '16.1'' FHD 144Hz'<br>Type : NB<br>","Computer",,,,,,,FALSE,,,,,,,,,,,,active
"PCNB-63401","Captiva Highend Gaming I63-401","Chassis : GN6 036IG 21V1 (N960KP)<br>CPU : Intel i7 10700<br>RAM : 32GB<br>Graphic : RTX 3060 6GB<br>SSD : 500GB M.2<br>HDD : 1TB<br>Display/TFT : '16.1'' FHD 144Hz'<br>OS : Win11 Home<br>Type : NB<br>","Intel","Electronics > Computers","Computer","Computer,Intel",TRUE,,,,,,,"PCNB-63401",,shopify,19,deny,manual,1444.41,,TRUE,TRUE,4046373634011,https://www.nexoc-store.de/shop/media/image/3a/0d/04/63335_01AaELAhWywvFIU_600x600..jpg,1,,FALSE,"Captiva Highend Gaming I63-401","Chassis : GN6 036IG 21V1 (N960KP)<br>CPU : Intel i7 10700<br>RAM : 32GB<br>Graphic : RTX 3060 6GB<br>SSD : 500GB M.2<br>HDD : 1TB<br>Display/TFT : '16.1'' FHD 144Hz'<br>OS : Win11 Home<br>Type : NB<br>","Computer",,,,,,,FALSE,,,,,,,,,,,,active
"PCNB-63403","Captiva Highend Gaming I63-403","Chassis : GN6 036IG 21V1 (N960KP)<br>CPU : Intel i7 10700<br>RAM : 32GB<br>Graphic : RTX 3060 6GB<br>SSD : 1TB M.2<br>HDD : 1TB<br>Display/TFT : '16.1'' FHD 144Hz'<br>Type : NB<br>","Intel","Electronics > Computers","Computer","Computer,Intel",TRUE,,,,,,,"PCNB-63403",,shopify,19,deny,manual,1348.65,,TRUE,TRUE,4046373634035,https://www.nexoc-store.de/shop/media/image/3d/7a/09/63335_01doXwAE82Yx7pZ_600x600..jpg,1,,FALSE,"Captiva Highend Gaming I63-403","Chassis : GN6 036IG 21V1 (N960KP)<br>CPU : Intel i7 10700<br>RAM : 32GB<br>Graphic : RTX 3060 6GB<br>SSD : 1TB M.2<br>HDD : 1TB<br>Display/TFT : '16.1'' FHD 144Hz'<br>Type : NB<br>","Computer",,,,,,,FALSE,,,,,,,,,,,,active
"PCNB-63402","Captiva Highend Gaming I63-402","Chassis : GN6 036IG 21V1 (N960KP)<br>CPU : Intel i7 10700<br>RAM : 32GB<br>Graphic : RTX 3060 6GB<br>SSD : 1TB M.2<br>HDD : 1TB<br>Display/TFT : '16.1'' FHD 144Hz'<br>OS : Win11 Home<br>Type : NB<br>","Intel","Electronics > Computers","Computer","Computer,Intel",TRUE,,,,,,,"PCNB-63402",,shopify,19,deny,manual,1487.25,,TRUE,TRUE,4046373634028,https://www.nexoc-store.de/shop/media/image/be/19/d1/63335_01wrLPWejoeEMFM_600x600..jpg,1,,FALSE,"Captiva Highend Gaming I63-402","Chassis : GN6 036IG 21V1 (N960KP)<br>CPU : Intel i7 10700<br>RAM : 32GB<br>Graphic : RTX 3060 6GB<br>SSD : 1TB M.2<br>HDD : 1TB<br>Display/TFT : '16.1'' FHD 144Hz'<br>OS : Win11 Home<br>Type : NB<br>","Computer",,,,,,,FALSE,,,,,,,,,,,,active
